"title","artist","playlist"
"Take Five","Dave Brubeck Quartet","current A-Z best of library"
"Take It As It Comes","J. Roddy Walston and The Business","current A-Z best of library"
"Take Me Out","Franz Ferdinand","current A-Z best of library"
"Take Me To Church","Hozier","current A-Z best of library"
"Take Me To The River","Talking Heads","current A-Z best of library"
"Take The Skinheads Bowling","Camper Van Beethoven","current A-Z best of library"
"Tall Boy","Har Mar Superstar","current A-Z best of library"
"Team","Lorde","current A-Z best of library"
"Teardrop","Massive Attack","current A-Z best of library"
"Teen Angst (What The World Needs Now)","Cracker","current A-Z best of library"
"Teenage FBI","Guided By Voices","current A-Z best of library"
"Teenage Kicks","The Undertones","current A-Z best of library"
"Television The Drug Of The Nation","The Disposable Heroes of Hiphoprisy","current A-Z best of library"
"Temptation","New Order","current A-Z best of library"
"Tenderness","General Public","current A-Z best of library"
"Tennessee","Arrested Development","current A-Z best of library"
"Terrible Love","The National","current A-Z best of library"
"Thank God For Girls","Weezer","current A-Z best of library"
"Thank You","Led Zeppelin","current A-Z best of library"
"Thank You Falettinme Be Mice Elf Agin","Sly and the Family Stone","current A-Z best of library"
"Thank You Friends","Big Star","current A-Z best of library"
"That Old Black Hole","Dr. Dog","current A-Z best of library"
"That Wasn't Me","Brandi Carlile","current A-Z best of library"
"That Western Skyline","Dawes","current A-Z best of library"
"That's All Right","Elvis Presley","current A-Z best of library"
"That's When I Reach For My Revolver","Mission Of Burma","current A-Z best of library"
"The Bed's Too Big Without You","The Police","current A-Z best of library"
"The Blues Are Still Blue","Belle and Sebastian","current A-Z best of library"
"The Boy with the Thorn in His Side","The Smiths","current A-Z best of library"
"The Boys Are Back In Town","Thin Lizzy","current A-Z best of library"
"The Breaks (Part 1)","Kurtis Blow","current A-Z best of library"
"The Crane Wife 3","The Decemberists","current A-Z best of library"
"The Distance","Cake","current A-Z best of library"
"The District Sleeps Alone Tonight","The Postal Service","current A-Z best of library"
"The Eye","Brandi Carlile","current A-Z best of library"
"The Field","Mason Jennings","current A-Z best of library"
"The Golden Age","Beck","current A-Z best of library"
"The Harder They Come","Jimmy Cliff","current A-Z best of library"
"The Hardest Button To Button","The White Stripes","current A-Z best of library"
"The Heat","Jungle","current A-Z best of library"
"The Jean Genie","David Bowie","current A-Z best of library"
"The Killing Moon","Echo and the Bunnymen","current A-Z best of library"
"The King of Carrot Flowers Pt. One","Neutral Milk Hotel","current A-Z best of library"
"The Letter","The Box Tops","current A-Z best of library"
"The Look of Love","Dusty Springfield","current A-Z best of library"
"The Love Cats","The Cure","current A-Z best of library"
"The Man Who Sold The World","David Bowie","current A-Z best of library"
"The Mayor of Simpleton","XTC","current A-Z best of library"
"The Mother We Share","CHVRCHES","current A-Z best of library"
"The New Pollution","Beck","current A-Z best of library"
"The New Year","Death Cab for Cutie","current A-Z best of library"
"The Night They Drove Old Dixie Down","The Band","current A-Z best of library"
"The One I Love","R.E.M.","current A-Z best of library"
"The Only Place","Best Coast","current A-Z best of library"
"The OtherSide","The Roots","current A-Z best of library"
"The Party Line","Belle and Sebastian","current A-Z best of library"
"The Passenger","Iggy Pop","current A-Z best of library"
"The Piano Has Been Drinking (Not Me)","Tom Waits","current A-Z best of library"
"The Rat","The Walkmen","current A-Z best of library"
"The Revolution Will Not Be Televised","Gil Scott-Heron","current A-Z best of library"
"The Rockafeller Skank","Fatboy Slim","current A-Z best of library"
"The Stars Of Track And Field","Belle and Sebastian","current A-Z best of library"
"The Suburbs","Arcade Fire","current A-Z best of library"
"The Sweater Song","Weezer","current A-Z best of library"
"The Underdog","Spoon","current A-Z best of library"
"The Warmth of the Sun","The Beach Boys","current A-Z best of library"
"The Way We Get By","Spoon","current A-Z best of library"
"The Whole of the Moon","The Waterboys","current A-Z best of library"
"The Wolf","Mumford and Sons","current A-Z best of library"
"There There","Radiohead","current A-Z best of library"
"There Will Be Time feat. Baaba Maal","Mumford and Sons","current A-Z best of library"
"These Boots are Made for Walking","Nancy Sinatra","current A-Z best of library"
"These Walls","Kendrick Lamar","current A-Z best of library"
"Things Happen","Dawes","current A-Z best of library"
"Think","Aretha Franklin","current A-Z best of library"
"Think About It","The Jayhawks","current A-Z best of library"
"This Is A Call","Foo Fighters","current A-Z best of library"
"This Land Is Your Land","Woody Guthrie","current A-Z best of library"
"This Lonely Morning","Best Coast","current A-Z best of library"
"This Must Be The Place (Naive Melody)","Talking Heads","current A-Z best of library"
"Three Packs A Day","Courtney Barnett","current A-Z best of library"
"Thrift Shop feat. Wanz","Macklemore and Ryan Lewis","current A-Z best of library"
"Thunder Road","Bruce Springsteen","current A-Z best of library"
"Ticket To Ride","The Beatles","current A-Z best of library"
"Tightrope feat. Big Boi","Janelle Monae","current A-Z best of library"
"Time Bomb","Rancid","current A-Z best of library"
"Time Is On My Side","Irma Thomas","current A-Z best of library"
"Time Of The Season","The Zombies","current A-Z best of library"
"Time Spent In Los Angeles","Dawes","current A-Z best of library"
"Time To Pretend","MGMT","current A-Z best of library"
"Times Like These","Foo Fighters","current A-Z best of library"
"Tired Of Being Alone","Al Green","current A-Z best of library"
"To Zion","Lauryn Hill","current A-Z best of library"
"Today","The Smashing Pumpkins","current A-Z best of library"
"Tomorrow Never Knows","The Beatles","current A-Z best of library"
"Tom's Diner (DNA mix)","Suzanne Vega","current A-Z best of library"
"Too Late To Say Goodbye","Cage The Elephant","current A-Z best of library"
"Toolmaster","Trip Shakespeare","current A-Z best of library"
"Touch Me I'm Sick","Mudhoney","current A-Z best of library"
"Tourniquet","Jeremy Messersmith","current A-Z best of library"
"Towers","Bon Iver","current A-Z best of library"
"Town Called Malice","The Jam","current A-Z best of library"
"Train From Kansas City","Neko Case","current A-Z best of library"
"Transmission","Joy Division","current A-Z best of library"
"Tree By The River","Iron and Wine","current A-Z best of library"
"Tropicalia","Beck","current A-Z best of library"
"Tropicalia","Caetano Veloso","current A-Z best of library"
"Trouble","Cage The Elephant","current A-Z best of library"
"Trouble","Coldplay","current A-Z best of library"
"Try a Little Tenderness","Otis Redding","current A-Z best of library"
"Try to Sleep","Low","current A-Z best of library"
"Trying","Bully","current A-Z best of library"
"Tupelo Honey","Van Morrison","current A-Z best of library"
"Turn It Around","Lucius","current A-Z best of library"
"Tutti Frutti","Little Richard","current A-Z best of library"
"Two Sides Of Monsieur Valentine","Spoon","current A-Z best of library"
"Two Silver Trees","Calexico","current A-Z best of library"
"Two Weeks","Grizzly Bear","current A-Z best of library"
"Unbelievers","Vampire Weekend","current A-Z best of library"
"Uncontrollable Urge","Devo","current A-Z best of library"
"Under Pressure","Queen and David Bowie","current A-Z best of library"
"Unsatisfied","The Replacements","current A-Z best of library"
"Up On Cripple Creek","The Band","current A-Z best of library"
"Use Me","Bill Withers","current A-Z best of library"
"Use Somebody","Kings of Leon","current A-Z best of library"
"Valerie feat. Amy Winehouse","Mark Ronson","current A-Z best of library"
"Valerie Loves Me","Material Issue","current A-Z best of library"
"Valerie Plame","The Decemberists","current A-Z best of library"
"Velouria","Pixies","current A-Z best of library"
"Veronica","Elvis Costello","current A-Z best of library"
"Vicious","Lou Reed","current A-Z best of library"
"Victoria","The Kinks","current A-Z best of library"
"Victory","Trampled by Turtles","current A-Z best of library"
"Video Games","Lana Del Rey","current A-Z best of library"
"Violent Shiver","Benjamin Booker","current A-Z best of library"
"Violet","Hippo Campus","current A-Z best of library"
"Viva Las Vegas","Elvis Presley","current A-Z best of library"
"Voices In My Head","Bob Mould","current A-Z best of library"
"Voodoo Child (Slight Return)","Jimi Hendrix","current A-Z best of library"
"Wait So Long","Trampled by Turtles","current A-Z best of library"
"Waitin' For A Superman","The Flaming Lips","current A-Z best of library"
"Waiting For The Great Leap Forwards","Billy Bragg","current A-Z best of library"
"Waiting For The Sun","The Jayhawks","current A-Z best of library"
"Waiting Room","Fugazi","current A-Z best of library"
"Walk On The Wild Side","Lou Reed","current A-Z best of library"
